timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
6116.16,0.4929,9.3942,3.2303,0.84,-1.26,1.19,0.7753,-9.5378,-2.0435,0.63,-1.54,-0.91,-0.0168,-0.1556,8.4084,-1.3969,-0.5115,-0.458,-9.2727,-0.0934,-0.4764,-3.3282,1.1069,0.4046
6207.584,0.5408,9.4229,3.2303,0.42,-1.19,1.26,0.8183,-9.5139,-1.9669,0.63,-1.96,-0.91,0.012,-0.1221,8.4611,-1.4122,-0.5725,-0.6031,-9.2656,-0.0694,-0.4238,-3.2137,1.2061,0.5038
6267.403,0.4834,9.4229,3.2495,0.63,-1.26,1.05,0.7753,-9.5282,-2.0004,1.96,-1.82,-0.91,0.0192,-0.1053,8.5617,-1.2748,-0.6565,-0.4885,-9.2656,-0.1197,-0.4501,-3.1756,1.2824,0.4275
6358.322,0.4977,9.4325,3.2255,0.77,-1.33,0.98,0.7513,-9.5234,-2.0195,1.61,-1.61,-0.91,-0.0383,-0.1915,8.6239,-1.2137,-0.6947,-0.7939,-9.2536,-0.1317,-0.4812,-3.1374,1.229,0.3893
6416.803,0.4834,9.4229,3.2399,0.7,-1.26,0.98,0.7657,-9.5378,-1.9573,0.35,-1.89,-1.12,-0.0311,-0.1269,8.4659,-1.2672,-0.4122,-0.5267,-9.1961,-0.1221,-0.4621,-3.2366,1.0,0.2901
6508.59,0.4834,9.4134,3.2064,0.7,-1.33,0.84,0.7609,-9.5426,-1.9908,0.56,-1.68,-1.19,-0.0024,-0.0934,8.4707,-1.3359,-0.6489,-0.7405,-9.232,-0.1389,-0.4118,-3.1679,1.2061,0.4809
6597.398,0.5168,9.4086,3.2351,0.49,-1.33,0.98,0.7418,-9.5282,-2.0626,1.12,-1.4,-1.05,-0.012,-0.1317,8.576,-1.3206,-0.5878,-0.542,-9.2416,-0.146,-0.4214,-3.1985,1.2061,0.5267
6658.105,0.5025,9.4038,3.2255,-0.14,-1.19,0.98,0.7896,-9.5234,-2.0674,0.49,-1.75,-1.12,0.0335,-0.1365,8.5066,-1.2519,-0.5267,-0.6794,-9.323,-0.0982,-0.3735,-3.4046,1.2748,0.4046
6747.987,0.5025,9.4181,3.2255,-0.7,-1.19,1.12,0.7657,-9.5378,-2.01,1.47,-1.82,-0.98,0.0215,-0.1532,8.6431,-1.3588,-0.5954,-0.6641,-9.2703,-0.1053,-0.419,-3.1985,1.1832,0.4351
6835.814,0.4977,9.4421,3.2207,0.35,-1.26,1.05,0.7609,-9.5474,-2.0148,0.7,-1.82,-1.05,0.0287,-0.1796,8.5258,-1.3664,-0.4733,-0.4656,-9.2584,-0.0982,-0.4405,-3.2443,1.0382,0.4198
