timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
6778.386,-0.2489,9.4134,-3.1011,0.56,-1.26,1.05,0.201,7.8724,-5.738,1.12,-1.61,-1.05,-0.1173,-0.0814,8.4994,-1.4351,-0.6031,-0.5878
6839.856,-0.2489,9.4229,-3.1394,0.21,-1.05,1.05,0.201,7.8867,-5.7332,0.98,-1.75,-1.12,-0.079,-0.1748,8.5258,-1.3435,-0.5802,-0.5267
6929.574,-0.2536,9.4277,-3.1394,0.42,-1.33,1.26,0.1962,7.8772,-5.7284,1.12,-1.68,-1.05,-0.103,-0.1484,8.5617,-1.4198,-0.5725,-0.5725
7018.898,-0.268,9.4181,-3.1442,0.35,-1.19,0.91,0.1675,7.8772,-5.7188,1.05,-1.75,-1.19,-0.0958,-0.1125,8.5042,-1.3511,-0.5191,-0.5191
7078.872,-0.2871,9.4373,-3.1442,0.49,-1.12,1.05,0.1914,7.8628,-5.7284,1.05,-1.68,-1.05,-0.0551,-0.1628,8.4204,-1.3435,-0.6183,-0.687
7169.189,-0.2536,9.4325,-3.0915,0.7,-1.26,0.91,0.1819,7.8628,-5.7428,0.84,-1.82,-1.12,-0.1413,-0.1125,8.5425,-1.3817,-0.5649,-0.6794
7231.267,-0.2632,9.4325,-3.1394,0.42,-1.33,1.19,0.1962,7.858,-5.7236,1.05,-1.61,-1.19,-0.0024,-0.103,8.5377,-1.5802,-0.6947,-0.5344
7320.581,-0.2489,9.4373,-3.1633,0.14,-1.26,1.12,0.1771,7.8724,-5.7284,0.98,-1.68,-1.19,-0.0215,-0.0958,8.679,-1.4351,-0.4962,-0.687
7409.717,-0.2824,9.4373,-3.1298,0.49,-1.26,1.12,0.1866,7.8867,-5.7045,0.98,-1.82,-1.05,-0.0575,-0.1772,8.5497,-1.4809,-0.5191,-0.2977
7469.074,-0.2441,9.4181,-3.1585,0.56,-1.26,1.05,0.1723,7.858,-5.7284,1.05,-1.61,-1.19,-0.0503,-0.1149,8.5425,-1.4198,-0.6794,-0.6565
